name,role,resume
Candidate_367,Data Analyst,Data Analyst with 1 years experience in excel tableau python
Candidate_368,Frontend Developer,Frontend Developer with 1 years experience in react javascript ui ux
Candidate_369,Data Analyst,Data Analyst with 5 years experience in excel tableau sql
Candidate_370,Business Analyst,Business Analyst with 5 years experience in dashboard reporting analysis
Candidate_371,Data Scientist,Data Scientist with 3 years experience in pandas numpy statistics
Candidate_372,DevOps Engineer,DevOps Engineer with 4 years experience in ci cd docker aws
Candidate_373,Data Scientist,Data Scientist with 4 years experience in python numpy pandas
Candidate_374,Machine Learning Engineer,Machine Learning Engineer with 1 years experience in python keras tensorflow
Candidate_375,Frontend Developer,Frontend Developer with 5 years experience in ui ux css javascript
Candidate_376,Frontend Developer,Frontend Developer with 2 years experience in react css javascript
Candidate_377,Software Engineer,Software Engineer with 3 years experience in api java docker
Candidate_378,Software Engineer,Software Engineer with 1 years experience in api microservices spring boot
Candidate_379,Business Analyst,Business Analyst with 3 years experience in reporting excel sql
Candidate_380,Software Engineer,Software Engineer with 5 years experience in microservices api docker
Candidate_381,Software Engineer,Software Engineer with 3 years experience in docker java microservices
Candidate_382,Backend Developer,Backend Developer with 5 years experience in express node js api
Candidate_383,Frontend Developer,Frontend Developer with 5 years experience in css html ui ux
Candidate_384,DevOps Engineer,DevOps Engineer with 1 years experience in aws docker kubernetes
Candidate_385,Data Analyst,Data Analyst with 4 years experience in power bi python excel
Candidate_386,Machine Learning Engineer,Machine Learning Engineer with 5 years experience in nlp tensorflow python
Candidate_387,HR Manager,HR Manager with 3 years experience in communication recruitment talent acquisition
Candidate_388,Business Analyst,Business Analyst with 5 years experience in reporting analysis excel
Candidate_389,HR Manager,HR Manager with 2 years experience in hr analytics talent acquisition recruitment
Candidate_390,HR Manager,HR Manager with 2 years experience in communication hr analytics recruitment
Candidate_391,Backend Developer,Backend Developer with 1 years experience in sql mongodb node js
Candidate_392,Backend Developer,Backend Developer with 4 years experience in sql api express
Candidate_393,AI Engineer,AI Engineer with 4 years experience in llm nlp python
Candidate_394,Machine Learning Engineer,Machine Learning Engineer with 1 years experience in python deep learning nlp
Candidate_395,Business Analyst,Business Analyst with 1 years experience in excel dashboard sql
Candidate_396,Business Analyst,Business Analyst with 2 years experience in analysis excel reporting
Candidate_397,Frontend Developer,Frontend Developer with 2 years experience in ui ux javascript react
Candidate_398,Business Analyst,Business Analyst with 2 years experience in analysis dashboard excel
Candidate_399,Data Analyst,Data Analyst with 2 years experience in excel sql tableau
Candidate_400,DevOps Engineer,DevOps Engineer with 5 years experience in docker aws kubernetes
Candidate_401,Software Engineer,Software Engineer with 3 years experience in java spring boot microservices
Candidate_402,AI Engineer,AI Engineer with 5 years experience in nlp deep learning llm
Candidate_403,Machine Learning Engineer,Machine Learning Engineer with 1 years experience in keras nlp deep learning
Candidate_404,DevOps Engineer,DevOps Engineer with 5 years experience in kubernetes ci cd linux
Candidate_405,Business Analyst,Business Analyst with 1 years experience in sql excel reporting
Candidate_406,Business Analyst,Business Analyst with 5 years experience in dashboard analysis excel
Candidate_407,DevOps Engineer,DevOps Engineer with 2 years experience in docker kubernetes aws
Candidate_408,Machine Learning Engineer,Machine Learning Engineer with 4 years experience in nlp python deep learning
Candidate_409,HR Manager,HR Manager with 5 years experience in hr analytics talent acquisition communication
Candidate_410,Business Analyst,Business Analyst with 2 years experience in sql reporting excel
Candidate_411,Machine Learning Engineer,Machine Learning Engineer with 5 years experience in tensorflow python nlp
Candidate_412,Business Analyst,Business Analyst with 4 years experience in sql analysis reporting
Candidate_413,HR Manager,HR Manager with 1 years experience in recruitment hr analytics talent acquisition
Candidate_414,Data Scientist,Data Scientist with 3 years experience in statistics machine learning numpy
Candidate_415,Frontend Developer,Frontend Developer with 5 years experience in html css react
Candidate_416,AI Engineer,AI Engineer with 4 years experience in deep learning python llm
Candidate_417,AI Engineer,AI Engineer with 2 years experience in transformers deep learning python
Candidate_418,Data Scientist,Data Scientist with 2 years experience in machine learning numpy python
Candidate_419,Frontend Developer,Frontend Developer with 3 years experience in javascript css react
Candidate_420,Software Engineer,Software Engineer with 1 years experience in docker microservices spring boot
Candidate_421,Data Scientist,Data Scientist with 5 years experience in pandas machine learning numpy
Candidate_422,AI Engineer,AI Engineer with 4 years experience in llm deep learning python
Candidate_423,HR Manager,HR Manager with 1 years experience in talent acquisition hr analytics recruitment
Candidate_424,AI Engineer,AI Engineer with 5 years experience in transformers llm nlp
Candidate_425,Software Engineer,Software Engineer with 2 years experience in microservices docker api
Candidate_426,Backend Developer,Backend Developer with 2 years experience in sql api mongodb
Candidate_427,AI Engineer,AI Engineer with 2 years experience in python nlp transformers
Candidate_428,Data Scientist,Data Scientist with 4 years experience in python pandas statistics
Candidate_429,Data Analyst,Data Analyst with 4 years experience in sql python power bi
Candidate_430,Software Engineer,Software Engineer with 5 years experience in java docker microservices
Candidate_431,Data Analyst,Data Analyst with 4 years experience in sql python excel
Candidate_432,DevOps Engineer,DevOps Engineer with 2 years experience in aws docker ci cd
Candidate_433,Backend Developer,Backend Developer with 2 years experience in api sql express
Candidate_434,HR Manager,HR Manager with 2 years experience in talent acquisition communication recruitment
Candidate_435,AI Engineer,AI Engineer with 1 years experience in nlp transformers deep learning
Candidate_436,Business Analyst,Business Analyst with 2 years experience in excel sql analysis
Candidate_437,AI Engineer,AI Engineer with 1 years experience in nlp llm deep learning
Candidate_438,HR Manager,HR Manager with 2 years experience in recruitment talent acquisition hr analytics
Candidate_439,Data Scientist,Data Scientist with 4 years experience in pandas machine learning numpy
Candidate_440,Machine Learning Engineer,Machine Learning Engineer with 2 years experience in deep learning python keras
Candidate_441,Backend Developer,Backend Developer with 4 years experience in mongodb api sql
Candidate_442,Data Analyst,Data Analyst with 2 years experience in sql python tableau
Candidate_443,Data Analyst,Data Analyst with 1 years experience in power bi sql python
Candidate_444,Data Scientist,Data Scientist with 3 years experience in numpy statistics python
Candidate_445,Business Analyst,Business Analyst with 2 years experience in excel analysis sql
Candidate_446,Data Analyst,Data Analyst with 3 years experience in power bi sql tableau
Candidate_447,Data Analyst,Data Analyst with 2 years experience in excel tableau sql
Candidate_448,AI Engineer,AI Engineer with 1 years experience in llm transformers nlp
Candidate_449,Data Scientist,Data Scientist with 5 years experience in numpy statistics python
Candidate_450,Data Scientist,Data Scientist with 2 years experience in pandas machine learning python
Candidate_451,Data Scientist,Data Scientist with 5 years experience in numpy machine learning python
Candidate_452,HR Manager,HR Manager with 3 years experience in recruitment hr analytics communication
Candidate_453,AI Engineer,AI Engineer with 3 years experience in transformers python nlp
Candidate_454,HR Manager,HR Manager with 3 years experience in hr analytics talent acquisition communication
Candidate_455,Machine Learning Engineer,Machine Learning Engineer with 3 years experience in nlp tensorflow deep learning
Candidate_456,AI Engineer,AI Engineer with 4 years experience in deep learning nlp python
Candidate_457,Machine Learning Engineer,Machine Learning Engineer with 5 years experience in deep learning keras tensorflow
Candidate_458,Business Analyst,Business Analyst with 1 years experience in excel sql analysis
Candidate_459,Business Analyst,Business Analyst with 2 years experience in dashboard analysis sql
Candidate_460,Software Engineer,Software Engineer with 3 years experience in docker spring boot java
Candidate_461,Frontend Developer,Frontend Developer with 4 years experience in html css javascript
Candidate_462,Data Scientist,Data Scientist with 2 years experience in numpy statistics python
Candidate_463,Business Analyst,Business Analyst with 4 years experience in analysis reporting excel
Candidate_464,Machine Learning Engineer,Machine Learning Engineer with 4 years experience in nlp tensorflow python
Candidate_465,Software Engineer,Software Engineer with 4 years experience in docker java api
Candidate_466,Frontend Developer,Frontend Developer with 3 years experience in css react javascript
Candidate_467,DevOps Engineer,DevOps Engineer with 2 years experience in aws kubernetes linux
Candidate_468,HR Manager,HR Manager with 4 years experience in hr analytics communication talent acquisition
Candidate_469,AI Engineer,AI Engineer with 3 years experience in llm deep learning python
Candidate_470,Frontend Developer,Frontend Developer with 5 years experience in css javascript ui ux
Candidate_471,Frontend Developer,Frontend Developer with 2 years experience in react ui ux javascript
Candidate_472,HR Manager,HR Manager with 3 years experience in recruitment communication hr analytics
Candidate_473,Business Analyst,Business Analyst with 1 years experience in reporting dashboard analysis
Candidate_474,Data Scientist,Data Scientist with 4 years experience in numpy statistics pandas
Candidate_475,DevOps Engineer,DevOps Engineer with 3 years experience in linux ci cd kubernetes
Candidate_476,Business Analyst,Business Analyst with 3 years experience in analysis excel sql
Candidate_477,Software Engineer,Software Engineer with 4 years experience in spring boot docker java
Candidate_478,Backend Developer,Backend Developer with 3 years experience in express api node js
Candidate_479,Business Analyst,Business Analyst with 4 years experience in dashboard excel sql
Candidate_480,AI Engineer,AI Engineer with 5 years experience in python llm deep learning
Candidate_481,DevOps Engineer,DevOps Engineer with 3 years experience in docker ci cd linux
Candidate_482,AI Engineer,AI Engineer with 1 years experience in transformers llm python
Candidate_483,DevOps Engineer,DevOps Engineer with 4 years experience in linux kubernetes aws
Candidate_484,Data Scientist,Data Scientist with 3 years experience in machine learning pandas numpy
Candidate_485,Software Engineer,Software Engineer with 3 years experience in spring boot docker java
Candidate_486,HR Manager,HR Manager with 5 years experience in talent acquisition recruitment hr analytics
Candidate_487,Data Analyst,Data Analyst with 4 years experience in excel python sql
Candidate_488,HR Manager,HR Manager with 4 years experience in recruitment talent acquisition hr analytics
Candidate_489,HR Manager,HR Manager with 3 years experience in talent acquisition communication recruitment
Candidate_490,Machine Learning Engineer,Machine Learning Engineer with 2 years experience in nlp keras tensorflow
Candidate_491,Business Analyst,Business Analyst with 2 years experience in analysis sql dashboard
Candidate_492,Frontend Developer,Frontend Developer with 1 years experience in html ui ux javascript
Candidate_493,Backend Developer,Backend Developer with 1 years experience in express node js api
Candidate_494,Business Analyst,Business Analyst with 5 years experience in dashboard analysis reporting
Candidate_495,Machine Learning Engineer,Machine Learning Engineer with 5 years experience in deep learning nlp python
Candidate_496,DevOps Engineer,DevOps Engineer with 3 years experience in ci cd kubernetes linux
Candidate_497,AI Engineer,AI Engineer with 4 years experience in llm nlp python
Candidate_498,Frontend Developer,Frontend Developer with 2 years experience in html react ui ux
Candidate_499,DevOps Engineer,DevOps Engineer with 1 years experience in linux docker kubernetes
Candidate_500,DevOps Engineer,DevOps Engineer with 5 years experience in linux aws docker
Candidate_501,HR Manager,HR Manager with 4 years experience in hr analytics talent acquisition recruitment
Candidate_502,HR Manager,HR Manager with 4 years experience in hr analytics recruitment talent acquisition
Candidate_503,HR Manager,HR Manager with 4 years experience in recruitment talent acquisition hr analytics
Candidate_504,Frontend Developer,Frontend Developer with 5 years experience in css javascript html
Candidate_505,Software Engineer,Software Engineer with 3 years experience in microservices spring boot docker
Candidate_506,DevOps Engineer,DevOps Engineer with 1 years experience in docker kubernetes linux
Candidate_507,HR Manager,HR Manager with 4 years experience in hr analytics recruitment talent acquisition
Candidate_508,AI Engineer,AI Engineer with 3 years experience in llm nlp deep learning
Candidate_509,HR Manager,HR Manager with 5 years experience in talent acquisition communication hr analytics
Candidate_510,Data Scientist,Data Scientist with 2 years experience in pandas machine learning numpy
Candidate_511,DevOps Engineer,DevOps Engineer with 1 years experience in aws kubernetes linux
Candidate_512,Software Engineer,Software Engineer with 3 years experience in microservices api docker
Candidate_513,Data Scientist,Data Scientist with 5 years experience in statistics python pandas
Candidate_514,HR Manager,HR Manager with 4 years experience in talent acquisition hr analytics communication
Candidate_515,Data Scientist,Data Scientist with 5 years experience in numpy machine learning statistics
Candidate_516,HR Manager,HR Manager with 3 years experience in recruitment hr analytics communication
Candidate_517,Data Scientist,Data Scientist with 2 years experience in statistics machine learning numpy
Candidate_518,HR Manager,HR Manager with 1 years experience in talent acquisition recruitment communication
Candidate_519,Software Engineer,Software Engineer with 5 years experience in docker spring boot java
Candidate_520,Data Analyst,Data Analyst with 3 years experience in power bi tableau excel
Candidate_521,Data Scientist,Data Scientist with 1 years experience in pandas python statistics
Candidate_522,Data Analyst,Data Analyst with 5 years experience in python excel power bi
Candidate_523,HR Manager,HR Manager with 3 years experience in communication hr analytics recruitment
Candidate_524,DevOps Engineer,DevOps Engineer with 2 years experience in aws docker ci cd
Candidate_525,Software Engineer,Software Engineer with 5 years experience in api docker java
Candidate_526,Backend Developer,Backend Developer with 1 years experience in node js express api
Candidate_527,Backend Developer,Backend Developer with 5 years experience in mongodb node js express
Candidate_528,Machine Learning Engineer,Machine Learning Engineer with 3 years experience in tensorflow deep learning python
Candidate_529,Frontend Developer,Frontend Developer with 1 years experience in css ui ux html
Candidate_530,AI Engineer,AI Engineer with 4 years experience in deep learning python nlp
Candidate_531,Backend Developer,Backend Developer with 2 years experience in sql mongodb api
Candidate_532,Software Engineer,Software Engineer with 5 years experience in spring boot java microservices
Candidate_533,AI Engineer,AI Engineer with 4 years experience in deep learning llm python
Candidate_534,DevOps Engineer,DevOps Engineer with 4 years experience in docker aws kubernetes
Candidate_535,Data Analyst,Data Analyst with 5 years experience in sql excel python
Candidate_536,Data Analyst,Data Analyst with 5 years experience in python sql excel
Candidate_537,DevOps Engineer,DevOps Engineer with 1 years experience in kubernetes linux aws
Candidate_538,Frontend Developer,Frontend Developer with 4 years experience in html react javascript
Candidate_539,Machine Learning Engineer,Machine Learning Engineer with 2 years experience in tensorflow python nlp
Candidate_540,Frontend Developer,Frontend Developer with 3 years experience in css javascript ui ux
Candidate_541,Data Analyst,Data Analyst with 3 years experience in power bi sql tableau
Candidate_542,Data Analyst,Data Analyst with 2 years experience in power bi python excel
Candidate_543,Data Scientist,Data Scientist with 2 years experience in statistics machine learning pandas
Candidate_544,HR Manager,HR Manager with 2 years experience in communication talent acquisition hr analytics
Candidate_545,Software Engineer,Software Engineer with 5 years experience in docker java spring boot
Candidate_546,Machine Learning Engineer,Machine Learning Engineer with 4 years experience in tensorflow deep learning python
Candidate_547,Frontend Developer,Frontend Developer with 3 years experience in css javascript html
Candidate_548,Backend Developer,Backend Developer with 2 years experience in sql express api
Candidate_549,Business Analyst,Business Analyst with 1 years experience in analysis excel dashboard
Candidate_550,Data Scientist,Data Scientist with 3 years experience in machine learning statistics numpy
Candidate_551,Backend Developer,Backend Developer with 2 years experience in mongodb node js express
Candidate_552,Machine Learning Engineer,Machine Learning Engineer with 1 years experience in nlp tensorflow keras
Candidate_553,Backend Developer,Backend Developer with 3 years experience in sql express api
Candidate_554,Software Engineer,Software Engineer with 2 years experience in docker api java
Candidate_555,Business Analyst,Business Analyst with 4 years experience in sql excel dashboard
Candidate_556,Business Analyst,Business Analyst with 5 years experience in dashboard sql analysis
Candidate_557,Frontend Developer,Frontend Developer with 1 years experience in react css html
Candidate_558,Machine Learning Engineer,Machine Learning Engineer with 4 years experience in nlp python deep learning
Candidate_559,Backend Developer,Backend Developer with 3 years experience in sql api node js
Candidate_560,Frontend Developer,Frontend Developer with 3 years experience in css html ui ux
Candidate_561,Business Analyst,Business Analyst with 1 years experience in reporting analysis dashboard
Candidate_562,AI Engineer,AI Engineer with 4 years experience in nlp python transformers
Candidate_563,Data Scientist,Data Scientist with 1 years experience in python numpy statistics
Candidate_564,HR Manager,HR Manager with 4 years experience in hr analytics talent acquisition communication
Candidate_565,Data Scientist,Data Scientist with 3 years experience in machine learning python pandas
Candidate_566,AI Engineer,AI Engineer with 4 years experience in llm deep learning transformers
Candidate_567,AI Engineer,AI Engineer with 2 years experience in llm nlp transformers
Candidate_568,Machine Learning Engineer,Machine Learning Engineer with 2 years experience in python deep learning nlp
Candidate_569,DevOps Engineer,DevOps Engineer with 5 years experience in kubernetes ci cd aws
Candidate_570,Machine Learning Engineer,Machine Learning Engineer with 5 years experience in nlp tensorflow python
Candidate_571,Software Engineer,Software Engineer with 1 years experience in java spring boot docker
Candidate_572,Software Engineer,Software Engineer with 3 years experience in api java spring boot
Candidate_573,Backend Developer,Backend Developer with 5 years experience in node js express sql
Candidate_574,Machine Learning Engineer,Machine Learning Engineer with 3 years experience in deep learning python tensorflow
Candidate_575,DevOps Engineer,DevOps Engineer with 3 years experience in ci cd kubernetes linux
Candidate_576,HR Manager,HR Manager with 2 years experience in communication hr analytics recruitment
Candidate_577,Frontend Developer,Frontend Developer with 5 years experience in html css javascript
Candidate_578,HR Manager,HR Manager with 1 years experience in hr analytics recruitment communication
Candidate_579,Data Scientist,Data Scientist with 1 years experience in machine learning pandas python
Candidate_580,Machine Learning Engineer,Machine Learning Engineer with 3 years experience in deep learning tensorflow keras
Candidate_581,Data Scientist,Data Scientist with 4 years experience in python pandas machine learning
Candidate_582,Software Engineer,Software Engineer with 1 years experience in java api docker
Candidate_583,Software Engineer,Software Engineer with 4 years experience in api microservices java
Candidate_584,HR Manager,HR Manager with 4 years experience in talent acquisition communication recruitment
Candidate_585,HR Manager,HR Manager with 3 years experience in talent acquisition hr analytics recruitment
Candidate_586,Software Engineer,Software Engineer with 1 years experience in api spring boot microservices
Candidate_587,Backend Developer,Backend Developer with 1 years experience in node js sql api
Candidate_588,Backend Developer,Backend Developer with 5 years experience in api node js express
Candidate_589,Software Engineer,Software Engineer with 4 years experience in docker api microservices
Candidate_590,HR Manager,HR Manager with 3 years experience in recruitment hr analytics communication
Candidate_591,HR Manager,HR Manager with 1 years experience in hr analytics communication recruitment
Candidate_592,HR Manager,HR Manager with 1 years experience in communication hr analytics talent acquisition
Candidate_593,HR Manager,HR Manager with 3 years experience in talent acquisition recruitment communication
Candidate_594,DevOps Engineer,DevOps Engineer with 2 years experience in ci cd linux docker
Candidate_595,Machine Learning Engineer,Machine Learning Engineer with 2 years experience in keras python deep learning
Candidate_596,AI Engineer,AI Engineer with 1 years experience in deep learning python nlp
Candidate_597,DevOps Engineer,DevOps Engineer with 2 years experience in docker kubernetes aws
Candidate_598,Software Engineer,Software Engineer with 2 years experience in docker microservices api
Candidate_599,Backend Developer,Backend Developer with 1 years experience in express sql node js
Candidate_600,Software Engineer,Software Engineer with 3 years experience in api java spring boot
Candidate_601,Business Analyst,Business Analyst with 1 years experience in dashboard reporting sql
Candidate_602,AI Engineer,AI Engineer with 4 years experience in nlp llm deep learning
Candidate_603,HR Manager,HR Manager with 2 years experience in communication talent acquisition hr analytics
Candidate_604,HR Manager,HR Manager with 1 years experience in talent acquisition hr analytics communication
Candidate_605,HR Manager,HR Manager with 1 years experience in talent acquisition hr analytics communication
Candidate_606,Business Analyst,Business Analyst with 5 years experience in excel sql dashboard
Candidate_607,DevOps Engineer,DevOps Engineer with 4 years experience in linux aws kubernetes
Candidate_608,Backend Developer,Backend Developer with 1 years experience in mongodb express api
Candidate_609,DevOps Engineer,DevOps Engineer with 2 years experience in linux kubernetes aws
Candidate_610,HR Manager,HR Manager with 3 years experience in talent acquisition recruitment hr analytics
Candidate_611,DevOps Engineer,DevOps Engineer with 1 years experience in ci cd docker linux
Candidate_612,Frontend Developer,Frontend Developer with 1 years experience in ui ux javascript html
Candidate_613,Backend Developer,Backend Developer with 2 years experience in express sql api
Candidate_614,Backend Developer,Backend Developer with 1 years experience in sql express mongodb
Candidate_615,Machine Learning Engineer,Machine Learning Engineer with 3 years experience in deep learning keras nlp
Candidate_616,DevOps Engineer,DevOps Engineer with 1 years experience in aws kubernetes docker
Candidate_617,Machine Learning Engineer,Machine Learning Engineer with 2 years experience in deep learning nlp keras
Candidate_618,Data Scientist,Data Scientist with 2 years experience in machine learning statistics python
Candidate_619,DevOps Engineer,DevOps Engineer with 4 years experience in kubernetes aws docker
Candidate_620,Data Analyst,Data Analyst with 5 years experience in sql power bi excel
Candidate_621,Data Scientist,Data Scientist with 1 years experience in numpy machine learning python
Candidate_622,Business Analyst,Business Analyst with 5 years experience in dashboard analysis sql
Candidate_623,Machine Learning Engineer,Machine Learning Engineer with 2 years experience in tensorflow nlp deep learning
Candidate_624,Data Scientist,Data Scientist with 3 years experience in pandas statistics numpy
Candidate_625,Data Analyst,Data Analyst with 1 years experience in python excel tableau
Candidate_626,DevOps Engineer,DevOps Engineer with 5 years experience in linux kubernetes ci cd
Candidate_627,HR Manager,HR Manager with 5 years experience in communication hr analytics talent acquisition
Candidate_628,Software Engineer,Software Engineer with 2 years experience in microservices docker spring boot
Candidate_629,AI Engineer,AI Engineer with 2 years experience in transformers nlp deep learning
Candidate_630,Data Scientist,Data Scientist with 3 years experience in python pandas machine learning
Candidate_631,Machine Learning Engineer,Machine Learning Engineer with 2 years experience in tensorflow python deep learning
Candidate_632,Frontend Developer,Frontend Developer with 4 years experience in javascript css html
Candidate_633,Business Analyst,Business Analyst with 1 years experience in dashboard analysis sql
Candidate_634,Data Analyst,Data Analyst with 1 years experience in python sql tableau
Candidate_635,Machine Learning Engineer,Machine Learning Engineer with 3 years experience in tensorflow python keras
Candidate_636,HR Manager,HR Manager with 3 years experience in hr analytics communication talent acquisition
Candidate_637,Data Analyst,Data Analyst with 2 years experience in tableau python excel
Candidate_638,Machine Learning Engineer,Machine Learning Engineer with 3 years experience in nlp python deep learning
Candidate_639,Data Analyst,Data Analyst with 3 years experience in power bi sql tableau
Candidate_640,AI Engineer,AI Engineer with 5 years experience in nlp transformers llm
Candidate_641,Backend Developer,Backend Developer with 1 years experience in sql mongodb express
Candidate_642,HR Manager,HR Manager with 2 years experience in communication talent acquisition recruitment
Candidate_643,Machine Learning Engineer,Machine Learning Engineer with 2 years experience in keras python tensorflow
Candidate_644,Software Engineer,Software Engineer with 1 years experience in java docker api
Candidate_645,Frontend Developer,Frontend Developer with 4 years experience in javascript html react
Candidate_646,Data Analyst,Data Analyst with 2 years experience in tableau python power bi
Candidate_647,Machine Learning Engineer,Machine Learning Engineer with 4 years experience in nlp deep learning keras
Candidate_648,DevOps Engineer,DevOps Engineer with 5 years experience in kubernetes docker linux
Candidate_649,Business Analyst,Business Analyst with 2 years experience in analysis dashboard excel
Candidate_650,Backend Developer,Backend Developer with 2 years experience in api express sql
Candidate_651,Backend Developer,Backend Developer with 2 years experience in sql api mongodb
Candidate_652,Data Analyst,Data Analyst with 3 years experience in sql python excel
Candidate_653,Data Analyst,Data Analyst with 1 years experience in tableau power bi sql
Candidate_654,Backend Developer,Backend Developer with 3 years experience in sql api node js
Candidate_655,Machine Learning Engineer,Machine Learning Engineer with 3 years experience in deep learning keras tensorflow
Candidate_656,Business Analyst,Business Analyst with 4 years experience in reporting dashboard analysis
Candidate_657,Frontend Developer,Frontend Developer with 5 years experience in ui ux react css
Candidate_658,Business Analyst,Business Analyst with 2 years experience in reporting excel analysis
Candidate_659,Data Scientist,Data Scientist with 2 years experience in pandas numpy statistics
Candidate_660,Backend Developer,Backend Developer with 2 years experience in node js mongodb api
Candidate_661,DevOps Engineer,DevOps Engineer with 1 years experience in aws kubernetes ci cd
Candidate_662,HR Manager,HR Manager with 5 years experience in talent acquisition recruitment communication
Candidate_663,DevOps Engineer,DevOps Engineer with 2 years experience in kubernetes linux ci cd
Candidate_664,Data Analyst,Data Analyst with 1 years experience in power bi excel tableau
Candidate_665,AI Engineer,AI Engineer with 1 years experience in deep learning nlp transformers
Candidate_666,Data Analyst,Data Analyst with 2 years experience in excel python power bi
Candidate_667,Data Analyst,Data Analyst with 5 years experience in tableau python excel
Candidate_668,DevOps Engineer,DevOps Engineer with 5 years experience in aws docker kubernetes
Candidate_669,DevOps Engineer,DevOps Engineer with 4 years experience in aws linux ci cd
Candidate_670,HR Manager,HR Manager with 4 years experience in recruitment talent acquisition communication
Candidate_671,DevOps Engineer,DevOps Engineer with 1 years experience in docker aws kubernetes
Candidate_672,Backend Developer,Backend Developer with 1 years experience in express api node js
Candidate_673,Data Scientist,Data Scientist with 4 years experience in python numpy machine learning
Candidate_674,Software Engineer,Software Engineer with 5 years experience in microservices spring boot docker
Candidate_675,AI Engineer,AI Engineer with 5 years experience in python deep learning llm
Candidate_676,HR Manager,HR Manager with 3 years experience in communication talent acquisition recruitment
Candidate_677,Data Analyst,Data Analyst with 2 years experience in sql power bi excel
Candidate_678,AI Engineer,AI Engineer with 1 years experience in nlp transformers llm
Candidate_679,Data Analyst,Data Analyst with 3 years experience in excel tableau power bi
Candidate_680,Backend Developer,Backend Developer with 5 years experience in api node js mongodb
Candidate_681,Data Analyst,Data Analyst with 4 years experience in excel tableau power bi
Candidate_682,DevOps Engineer,DevOps Engineer with 5 years experience in aws linux kubernetes
Candidate_683,Machine Learning Engineer,Machine Learning Engineer with 4 years experience in deep learning nlp tensorflow
Candidate_684,DevOps Engineer,DevOps Engineer with 1 years experience in kubernetes aws ci cd
Candidate_685,HR Manager,HR Manager with 2 years experience in communication talent acquisition hr analytics
Candidate_686,Data Analyst,Data Analyst with 3 years experience in excel sql tableau
Candidate_687,Machine Learning Engineer,Machine Learning Engineer with 2 years experience in deep learning python tensorflow
Candidate_688,Data Scientist,Data Scientist with 1 years experience in python statistics pandas
Candidate_689,Frontend Developer,Frontend Developer with 5 years experience in react javascript css
Candidate_690,Software Engineer,Software Engineer with 5 years experience in docker microservices java
Candidate_691,DevOps Engineer,DevOps Engineer with 1 years experience in ci cd docker linux
Candidate_692,Data Analyst,Data Analyst with 1 years experience in sql excel python
Candidate_693,Business Analyst,Business Analyst with 5 years experience in sql excel reporting
Candidate_694,Business Analyst,Business Analyst with 5 years experience in sql excel analysis
Candidate_695,Data Scientist,Data Scientist with 3 years experience in pandas machine learning numpy
Candidate_696,HR Manager,HR Manager with 2 years experience in hr analytics communication talent acquisition
Candidate_697,HR Manager,HR Manager with 2 years experience in talent acquisition recruitment communication
Candidate_698,DevOps Engineer,DevOps Engineer with 5 years experience in kubernetes linux aws
Candidate_699,Machine Learning Engineer,Machine Learning Engineer with 1 years experience in python tensorflow nlp
Candidate_700,Data Scientist,Data Scientist with 3 years experience in python pandas machine learning
Candidate_701,Machine Learning Engineer,Machine Learning Engineer with 1 years experience in deep learning tensorflow python
Candidate_702,Frontend Developer,Frontend Developer with 3 years experience in html react javascript
Candidate_703,Data Scientist,Data Scientist with 2 years experience in statistics machine learning pandas
Candidate_704,AI Engineer,AI Engineer with 3 years experience in deep learning transformers python
Candidate_705,Machine Learning Engineer,Machine Learning Engineer with 4 years experience in deep learning tensorflow python
Candidate_706,AI Engineer,AI Engineer with 3 years experience in transformers python nlp
Candidate_707,AI Engineer,AI Engineer with 3 years experience in nlp transformers llm
Candidate_708,Machine Learning Engineer,Machine Learning Engineer with 2 years experience in tensorflow python deep learning
Candidate_709,HR Manager,HR Manager with 4 years experience in communication hr analytics recruitment
Candidate_710,Machine Learning Engineer,Machine Learning Engineer with 1 years experience in nlp keras tensorflow
Candidate_711,AI Engineer,AI Engineer with 1 years experience in transformers python deep learning
Candidate_712,Software Engineer,Software Engineer with 2 years experience in docker java api
Candidate_713,Machine Learning Engineer,Machine Learning Engineer with 3 years experience in deep learning nlp keras
Candidate_714,Data Analyst,Data Analyst with 5 years experience in power bi tableau excel
Candidate_715,Data Analyst,Data Analyst with 3 years experience in power bi excel sql
Candidate_716,Software Engineer,Software Engineer with 5 years experience in microservices docker java
Candidate_717,Frontend Developer,Frontend Developer with 3 years experience in css react ui ux
Candidate_718,Frontend Developer,Frontend Developer with 1 years experience in css react javascript
Candidate_719,Frontend Developer,Frontend Developer with 4 years experience in css javascript ui ux
Candidate_720,Machine Learning Engineer,Machine Learning Engineer with 4 years experience in deep learning tensorflow python
Candidate_721,Backend Developer,Backend Developer with 3 years experience in mongodb sql api
Candidate_722,Data Scientist,Data Scientist with 2 years experience in numpy machine learning statistics
Candidate_723,Business Analyst,Business Analyst with 5 years experience in analysis reporting dashboard
Candidate_724,DevOps Engineer,DevOps Engineer with 4 years experience in kubernetes linux ci cd
Candidate_725,Data Analyst,Data Analyst with 4 years experience in python sql power bi
Candidate_726,Data Analyst,Data Analyst with 2 years experience in power bi excel sql
Candidate_727,Backend Developer,Backend Developer with 1 years experience in mongodb node js express
Candidate_728,HR Manager,HR Manager with 3 years experience in communication hr analytics recruitment
